"id","authors","year","title","WI","number","version","media","comment","newname","publisher","subtitle","publishdate","pagecount","category","language","sale","price","currency","mature","isbn10","isbn13","matching"
515,"Ungerer, Theo",0,"Mikroprozessortechnik",11,498,"","TAT 11","","Mikroprozessortechnik",NA,"Architektur und Funktionsweise superskalarer Mikroprozessoren","1995","119",NA,"en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3826601300","9783826601309","0"
517,"Patterson, David A.",0,"Computer organisation and design",11,418,"c","","","Computer Organization and Design","Newnes","The Hardware/Software Interface","2013-09-30","800","Computers","en","FOR_SALE","51.6","EUR","NOT_MATURE",NA,"9780124078864","0"
518,"Stadtler, Hartmut",0,"Supply Chain Management and Advanced Planning",78,53,"b","","","Advanced Planning in Supply Chains","Springer Science & Business Media","Illustrating the Concepts Using an SAPÆ APO Case Study","2011-10-26","306","Business & Economics","en","FOR_SALE","35.81","EUR","NOT_MATURE",NA,"9783642242151","0"
519,"Eckert, K.-P.",0,"Objektorientiertheit in offenen Systemen",15,415,"","TAT 14","","Axialkompressoren und Radialkompressoren","Springer-Verlag","Anwendung / Theorie / Berechnung","2013-03-13",NA,"Technology & Engineering","de","FOR_SALE","39.99","EUR","NOT_MATURE",NA,"9783642527203","4"
520,"Bancilhon, Francois",0,"Advances in database Technology - EDBT",90,416,"","LNCS","","Advances in Database Technology - EDBT '90","Springer Science & Business Media","International Conference on Extending Database Technology. Venice, Italy, March 26-30, 1990, Proceedings.","1990-02-21","451","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540522913","9783540522911","0"
521,"Bancilhon, Francois",0,"Building on object-oriented database system",15,190,"c","","","Building an Object-oriented Database System","Morgan Kaufmann","The Story of O2","1992","625","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","1558601694","9781558601697","2"
522,"Hartmann, Thorsten",0,"Entwurf einer Sprache fÃ_r die verhaltensorientierte konzeptionelle Modellierung von Informationssystemen",12,339,"","Diss","","Entwurf einer Sprache fur die verhaltensorientierte konzeptionelle Modellierung von Informationssystemen",NA,NA,"1996","241",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3896014013","9783896014016","3"
523,"Lengauer, Thomas",0,"Combinatorial algorithms for integrated circuit layout",11,473,"","","","Combinatorial Algorithms for Integrated Circuit Layout","Springer Science & Business Media",NA,"2012-12-06","720","Technology & Engineering","en","FOR_SALE","58.3","EUR","NOT_MATURE",NA,"9783322921062","2"
525,"Zighed, Djamel A. (Hrsg.)",0,"Principles of data mining and knowledge discovery",15,573,"","","oben","Principles of Data Mining and Knowledge Discovery","Springer","5th European Conference, PKDD 2001, Freiburg, Germany, September 3-5, 2001 Proceedings","2003-06-30","514","Computers","en","FOR_SALE","74.96","EUR","NOT_MATURE",NA,"9783540447948","2"
526,"Scheer, August-Wilhelm",0,"ARIS - Vom GeschÃ_ftsprozess zum Anwendungssystem",12,34,"1e","","","ARIS-Toolset",NA,"die Geburt eines Softwareproduktes","1994","60",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"3"
527,"Papadimitriou, Christos",0,"The theory of database concurrency control",15,284,"","","","The Theory of Database Concurrency Control","Computer Science Press, Incorporated",NA,"1986","239","Mathematics","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE",NA,NA,"0"
529,"Jarke, Matthias",0,"Advances in Database Technology - EDBT",90,779,"","LNCS","","Advances in Database Technology - EDBT '94","Springer Science & Business Media","4th International Conference on Extending Database Technology, Cambridge, United Kingdom, March 28 - 31, 1994. Proceedings","1994-03-09","406","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540578188","9783540578185","0"
530,"Lomet, David B.",0,"Foundations of Data Orgainzation and algoithms",90,730,"","LNCS","","Foundations of Data Organization and Algorithms","Springer Science & Business Media","4th International Conference, FODO '93, Chicago, Illinois, USA, October 13-15, 1993. Proceedings","1993-09-29","411","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540573011","9783540573012","0"
